Ca2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 42,  10, 10d3/2,  4p1/2,       152.5264(2)  ,          0.1836(47) ,        ,       0.311(11),  4.81(24)E+06   ,       152.5264,      0.0002,   0.00,      0.1836,      0.0047,    2.54,          0.311,          0.011,    3.53,  4.8097E+06,  2.4E+05,    5.07
 42,  11, 10d3/2,  4p3/2,       153.0467(2)  ,          0.0814(21) ,        ,      0.0605(31),  9.35(49)E+05   ,       153.0467,      0.0002,   0.00,      0.0814,      0.0021,    2.59,         0.0605,         0.0031,    5.14,  9.3546E+05,  4.9E+04,    5.19
 42,  12, 10d3/2,  5p1/2,       330.8968(8)  ,          0.4374(44) ,        ,      0.1729(40),  2.675(53)E+06  ,       330.8968,      0.0008,   0.00,      0.4374,      0.0044,    1.00,         0.1729,         0.0040,    2.31,  2.6749E+06,  5.3E+04,    2.00
 42,  13, 10d3/2,  5p3/2,       331.7559(8)  ,          0.1945(20) ,        ,     0.03390(88),  5.25(11)E+05   ,       331.7559,      0.0008,   0.00,      0.1945,      0.0020,    1.03,        0.03390,        0.00088,    2.58,  5.2465E+05,  1.1E+04,    2.05
 42,  14, 10d3/2,  6p1/2,        614.666(3)  ,          0.8615(58) ,        ,      0.1046(21),  1.619(22)E+06  ,        614.666,       0.003,   0.00,      0.8615,      0.0058,    0.68,         0.1046,         0.0021,    2.05,  1.6189E+06,  2.2E+04,    1.35
 42,  15, 10d3/2,  6p3/2,        616.061(3)  ,          0.3838(27) ,        ,     0.02062(44),  3.190(45)E+05  ,        616.061,       0.003,   0.00,      0.3838,      0.0027,    0.70,        0.02062,        0.00044,    2.15,  3.1904E+05,  4.5E+03,    1.40
 42,  16, 10d3/2,  7p1/2,         1080.4(6)  , *        1.6480(60) ,        ,      0.0705(13),  1.0910(81)E+06 ,         1080.4,         0.6,   0.05,      1.6480,      0.0060,    0.36,         0.0705,         0.0013,    1.79,  1.0910E+06,  8.1E+03,    0.74
 42,  17, 10d3/2,  7p3/2,         1082.7(6)  , *        0.7354(28) ,        ,     0.01395(25),  2.159(17)E+05  ,         1082.7,         0.6,   0.05,      0.7354,      0.0028,    0.38,        0.01395,        0.00025,    1.82,  2.1585E+05,  1.7E+03,    0.77
 42,  18, 10d3/2,  8p1/2,           1914(1)  , *        3.3081(69) ,        ,     0.05109(88),  7.906(38)E+05  ,          1914 ,          1 ,   0.08,      3.3081,      0.0069,    0.21,        0.05109,        0.00088,    1.72,  7.9064E+05,  3.8E+03,    0.48
 42,  19, 10d3/2,  8p3/2,           1918(1)  , *        1.4789(33) ,        ,     0.01014(18),  1.5691(78)E+05 ,          1918 ,          1 ,   0.08,      1.4789,      0.0033,    0.22,        0.01014,        0.00018,    1.73,  1.5691E+05,  7.8E+02,    0.50
 42,  20, 10d3/2,  9p1/2,           3714(4)  , *        7.9432(40) ,        ,     0.04032(68),  6.240(22)E+05  ,          3714 ,          4 ,   0.11,      7.9432,      0.0040,    0.05,        0.04032,        0.00068,    1.69,  6.2396E+05,  2.2E+03,    0.35
 42,  21, 10d3/2,  9p3/2,           3725(4)  , *        3.5605(18) ,        ,     0.00803(14),  1.2426(43)E+05 ,          3725 ,          4 ,   0.11,      3.5605,      0.0018,    0.05,        0.00803,        0.00014,    1.69,  1.2426E+05,  4.3E+02,    0.35
 42,  22, 10d3/2, 10p1/2,         10030(20)  , *         33.38(17) ,        ,     0.03614(72),  5.593(65)E+05  ,         10029 ,         20 ,   0.20,       33.38,        0.17,    0.50,        0.03614,        0.00072,    2.00,  5.5933E+05,  6.5E+03,    1.16
 42,  23, 10d3/2, 10p3/2,         10080(20)  , *        15.065(75) ,        ,     0.00724(15),  1.121(13)E+05  ,         10085 ,         20 ,   0.20,      15.065,       0.075,    0.50,        0.00724,        0.00015,    2.02,  1.1208E+05,  1.3E+03,    1.17
 42,  46, 10d3/2,  4f5/2,        440.587(1)  ,          0.1570(26) ,        ,     0.00943(35),  1.459(48)E+05  ,        440.587,       0.001,   0.00,      0.1570,      0.0026,    1.66,        0.00943,        0.00035,    3.67,  1.4593E+05,  4.8E+03,    3.31
 42,  48, 10d3/2,  5f5/2,        786.193(4)  ,          0.3936(70) ,        ,     0.01044(41),  1.615(57)E+05  ,        786.193,       0.004,   0.00,      0.3936,      0.0070,    1.77,        0.01044,        0.00041,    3.88,  1.6150E+05,  5.7E+03,    3.55
 42,  50, 10d3/2,  6f5/2,        1370.64(1)  ,           0.858(16) ,        ,     0.00936(38),  1.448(55)E+05  ,        1370.64,        0.01,   0.00,       0.858,       0.016,    1.88,        0.00936,        0.00038,    4.08,  1.4479E+05,  5.5E+03,    3.77
 42,  52, 10d3/2,  7f5/2,        2483.32(4)  ,           1.957(38) ,        ,     0.00819(34),  1.267(49)E+05  ,        2483.32,        0.04,   0.00,       1.957,       0.038,    1.95,        0.00819,        0.00034,    4.21,  1.2672E+05,  4.9E+03,    3.90
 42,  54, 10d3/2,  8f5/2,         5244.9(2)  ,            5.86(11) ,        ,     0.00780(31),  1.206(44)E+05  ,         5244.9,         0.2,   0.00,        5.86,        0.11,    1.82,        0.00780,        0.00031,    3.97,  1.2065E+05,  4.4E+03,    3.63
 42,  56, 10d3/2,  9f5/2,         22030(20)  ,           67.92(42) ,        ,     0.01412(29),  2.186(28)E+05  ,         22030 ,         24 ,   0.11,       67.92,        0.42,    0.61,        0.01412,        0.00029,    2.07,  2.1856E+05,  2.8E+03,    1.27
 44,  10, 11d3/2,  4p1/2,        150.420(1)  ,          0.1527(34) ,        ,      0.3043(97),  3.47(16)E+06   ,        150.420,       0.001,   0.00,      0.1527,      0.0034,    2.26,         0.3043,         0.0097,    3.17,  3.4693E+06,  1.6E+05,    4.52
 44,  11, 11d3/2,  4p3/2,        150.926(1)  ,          0.0677(16) ,        ,      0.0592(27),  6.74(31)E+05   ,        150.926,       0.001,   0.00,      0.0677,      0.0016,    2.31,         0.0592,         0.0027,    4.57,  6.7446E+05,  3.1E+04,    4.62
 44,  12, 11d3/2,  5p1/2,        321.141(5)  ,          0.3545(32) ,        ,      0.1686(35),  1.922(35)E+06  ,        321.141,       0.005,   0.00,      0.3545,      0.0032,    0.90,         0.1686,         0.0035,    2.06,  1.9220E+06,  3.5E+04,    1.81
 44,  13, 11d3/2,  5p3/2,        321.950(5)  ,          0.1576(15) ,        ,     0.03305(76),  3.768(70)E+05  ,        321.950,       0.005,   0.00,      0.1576,      0.0015,    0.93,        0.03305,        0.00076,    2.30,  3.7677E+05,  7.0E+03,    1.85
 44,  14, 11d3/2,  6p1/2,         581.83(2)  ,          0.6702(43) ,        ,      0.1013(19),  1.155(15)E+06  ,         581.83,        0.02,   0.00,      0.6702,      0.0043,    0.64,         0.1013,         0.0019,    1.84,  1.1550E+06,  1.5E+04,    1.28
 44,  15, 11d3/2,  6p3/2,         583.08(2)  ,          0.2984(20) ,        ,     0.01995(39),  2.275(30)E+05  ,         583.08,        0.02,   0.00,      0.2984,      0.0020,    0.66,        0.01995,        0.00039,    1.94,  2.2747E+05,  3.0E+03,    1.31
