Ra2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 15,   2, 10p1/2,  8s1/2,          395.4(1)  , *        0.0058(17) ,        ,    0.000128(79),  5.6(32)E+02    ,          395.4,         0.1,   0.04,      0.0058,      0.0017,   28.73,       0.000128,       0.000079,   61.76,  5.5903E+02,  3.2E+02,   57.46
 15,   3, 10p1/2,  9s1/2,           1049(1)  , *        0.4356(48) ,        ,      0.0382(87),  1.664(37)E+05  ,          1049 ,          1 ,   0.09,      0.4356,      0.0048,    1.11,         0.0382,         0.0087,   22.77,  1.6636E+05,  3.7E+03,    2.24
 15,   4, 10p1/2, 10s1/2,          5390(30)  , *        17.037(47) ,        ,       0.432(98),  1.880(29)E+06  ,          5388 ,         26 ,   0.49,      17.037,       0.047,    0.28,          0.432,          0.098,   22.68,  1.8803E+06,  2.9E+04,    1.56
 15,  25, 10p1/2,  6d3/2,         176.65(3)  , *         0.010(18) ,        ,       0.004(14),  1.7(63)E+04    ,         176.65,        0.03,   0.02,       0.010,       0.018,  185.28,          0.004,          0.014,  369.80,  1.6952E+04,  6.3E+04,  370.55
 15,  27, 10p1/2,  7d3/2,          501.2(2)  , *        0.1781(31) ,        ,       0.059(13),  2.551(88)E+05  ,          501.2,         0.2,   0.05,      0.1781,      0.0031,    1.72,          0.059,          0.013,   22.90,  2.5508E+05,  8.8E+03,    3.44
 15,  29, 10p1/2,  8d3/2,           1437(2)  , *        1.1993(13) ,        ,       0.113(26),  4.912(22)E+05  ,          1437 ,          2 ,   0.13,      1.1993,      0.0013,    0.11,          0.113,          0.026,   22.68,  4.9125E+05,  2.2E+03,    0.44
 15,  31, 10p1/2,  9d3/2,        23200(500)  , *        25.927(76) ,        ,      0.0125(29),  5.44(34)E+04   ,         23215 ,        485 ,   2.09,      25.927,       0.076,    0.29,         0.0125,         0.0029,   23.51,  5.4433E+04,  3.4E+03,    6.30
 17,   1, 11p1/2,  7s1/2,         138.30(1)  , *         0.056(17) ,        ,        0.42(15),  1.20(74)E+06   ,         138.30,        0.01,   0.01,       0.056,       0.017,   30.70,           0.42,           0.15,   35.84,  1.1992E+06,  7.4E+05,   61.40
 17,   2, 11p1/2,  8s1/2,         346.03(7)  , *         0.030(14) ,        ,      0.0078(75),  2.2(21)E+04    ,         346.03,        0.07,   0.02,       0.030,       0.014,   46.39,         0.0078,         0.0075,   95.57,  2.2475E+04,  2.1E+04,   92.79
 17,   3, 11p1/2,  9s1/2,          761.1(3)  , *        0.0754(28) ,        ,      0.0045(12),  1.306(98)E+04  ,          761.1,         0.3,   0.04,      0.0754,      0.0028,    3.76,         0.0045,         0.0012,   26.71,  1.3057E+04,  9.8E+02,    7.51
 17,   4, 11p1/2, 10s1/2,           1830(2)  , *        0.7448(76) ,        ,      0.0319(82),  9.17(19)E+04   ,          1830 ,          2 ,   0.10,      0.7448,      0.0076,    1.02,         0.0319,         0.0082,   25.72,  9.1747E+04,  1.9E+03,    2.05
 17,   5, 11p1/2, 11s1/2,          8840(40)  , *        23.572(54) ,        ,       0.283(73),  8.15(12)E+05   ,          8839 ,         43 ,   0.49,      23.572,       0.054,    0.23,          0.283,          0.073,   25.67,  8.1498E+05,  1.2E+04,    1.53
 17,  25, 11p1/2,  6d3/2,         166.06(2)  , *         0.005(15) ,        ,       0.002(12),  7(35)E+03      ,         166.06,        0.02,   0.01,       0.005,       0.015,  269.53,          0.002,          0.012,  538.44,  6.5732E+03,  3.5E+04,  539.07
 17,  27, 11p1/2,  7d3/2,          424.4(1)  , *        0.1000(47) ,        ,       0.046(13),  1.32(12)E+05   ,          424.4,         0.1,   0.02,      0.1000,      0.0047,    4.70,          0.046,          0.013,   27.17,  1.3240E+05,  1.2E+04,    9.41
 17,  29, 11p1/2,  8d3/2,          946.1(5)  , *        0.4653(47) ,        ,       0.090(23),  2.589(52)E+05  ,          946.1,         0.5,   0.05,      0.4653,      0.0047,    1.00,          0.090,          0.023,   25.71,  2.5892E+05,  5.2E+03,    2.01
 17,  31, 11p1/2,  9d3/2,           2475(3)  , *        2.1649(28) ,        ,       0.109(28),  3.131(15)E+05  ,          2475 ,          3 ,   0.14,      2.1649,      0.0028,    0.13,          0.109,          0.028,   25.65,  3.1311E+05,  1.5E+03,    0.48
 17,  33, 11p1/2, 10d3/2,        38300(800)  , *        36.593(89) ,        ,      0.0084(22),  2.41(15)E+04   ,         38336 ,        810 ,   2.11,      36.593,       0.089,    0.24,         0.0084,         0.0022,   26.41,  2.4077E+04,  1.5E+03,    6.35
 19,   1, 12p1/2,  7s1/2,        134.040(6)  , *         0.047(14) ,        ,        0.45(15),  9.2(54)E+05    ,        134.040,       0.006,   0.00,       0.047,       0.014,   29.59,           0.45,           0.15,   32.52,  9.1914E+05,  5.4E+05,   59.18
 19,   2, 12p1/2,  8s1/2,         320.52(4)  , *         0.033(11) ,        ,       0.016(12),  3.3(22)E+04    ,         320.52,        0.04,   0.01,       0.033,       0.011,   33.69,          0.016,          0.012,   71.47,  3.2899E+04,  2.2E+04,   67.37
 19,   3, 12p1/2,  9s1/2,          647.7(1)  , *        0.0082(17) ,        ,    0.000124(60),  2.5(10)E+02    ,          647.7,         0.1,   0.02,      0.0082,      0.0017,   20.42,       0.000124,       0.000060,   48.82,  2.5191E+02,  1.0E+02,   40.85
 19,   4, 12p1/2, 10s1/2,         1287.7(6)  , *        0.1710(32) ,        ,      0.0068(18),  1.388(51)E+04  ,         1287.7,         0.6,   0.05,      0.1710,      0.0032,    1.85,         0.0068,         0.0018,   27.00,  1.3875E+04,  5.1E+02,    3.71
 19,   5, 12p1/2, 11s1/2,           2914(3)  , *         1.114(11) ,        ,      0.0250(67),  5.086(98)E+04  ,          2914 ,          3 ,   0.10,       1.114,       0.011,    0.96,         0.0250,         0.0067,   26.81,  5.0861E+04,  9.8E+02,    1.94
 19,   6, 12p1/2, 12s1/2,         13500(80)  , *        31.135(59) ,        ,       0.196(53),  3.994(76)E+05  ,         13497 ,         84 ,   0.62,      31.135,       0.059,    0.19,          0.196,          0.053,   26.79,  3.9942E+05,  7.6E+03,    1.91
