  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 27,   7, 13p3/2, 11s1/2,        13326.1(9)  ,           4.672(29) ,        ,     0.01445(24),  4.672(58)E+03  ,        13326.1,         0.9,   0.01,       4.672,       0.029,    0.62,        0.01445,        0.00024,    1.69,  4.6724E+03,  5.8E+01,    1.25
 27,   8, 13p3/2, 12s1/2,          26830(4)  ,          14.148(92) ,        ,     0.01624(28),  5.250(69)E+03  ,         26830 ,          4 ,   0.01,      14.148,       0.092,    0.65,        0.01624,        0.00028,    1.73,  5.2496E+03,  6.9E+01,    1.31
 27,   9, 13p3/2, 13s1/2,        96200(900)  , *        137.94(44) ,        ,      0.0335(10),  1.081(32)E+04  ,         96237 ,        927 ,   0.96,      137.94,        0.44,    0.32,         0.0335,         0.0010,    3.09,  1.0813E+04,  3.2E+02,    2.96
 27,  28, 13p3/2,  4d3/2,        751.203(3)  ,          0.0600(10) ,        ,     0.01329(47),  4.30(15)E+03   ,        751.203,       0.003,   0.00,      0.0600,      0.0010,    1.71,        0.01329,        0.00047,    3.57,  4.2966E+03,  1.5E+02,    3.42
 27,  29, 13p3/2,  4d5/2,        751.178(3)  ,          0.1800(30) ,        ,      0.1198(37),  3.87(13)E+04   ,        751.178,       0.003,   0.00,      0.1800,      0.0030,    1.65,         0.1198,         0.0037,    3.10,  3.8717E+04,  1.3E+03,    3.30
 27,  30, 13p3/2,  5d3/2,        1435.32(1)  ,          0.1645(25) ,        ,     0.01435(47),  4.64(14)E+03   ,        1435.32,        0.01,   0.00,      0.1645,      0.0025,    1.54,        0.01435,        0.00047,    3.26,  4.6383E+03,  1.4E+02,    3.09
 27,  31, 13p3/2,  5d5/2,        1435.93(1)  ,          0.4943(73) ,        ,      0.1293(36),  4.18(12)E+04   ,        1435.93,        0.01,   0.00,      0.4943,      0.0073,    1.48,         0.1293,         0.0036,    2.79,  4.1808E+04,  1.2E+03,    2.95
 27,  32, 13p3/2,  6d3/2,        2512.25(3)  ,          0.3467(49) ,        ,     0.01188(36),  3.84(11)E+03   ,        2512.25,        0.03,   0.00,      0.3467,      0.0049,    1.41,        0.01188,        0.00036,    3.02,  3.8397E+03,  1.1E+02,    2.82
 27,  33, 13p3/2,  6d5/2,        2513.67(3)  ,           1.042(14) ,        ,      0.1070(28),  3.459(93)E+04  ,        2513.67,        0.03,   0.00,       1.042,       0.014,    1.35,         0.1070,         0.0028,    2.65,  3.4594E+04,  9.3E+02,    2.69
 27,  34, 13p3/2,  7d3/2,        4188.45(9)  ,          0.6701(89) ,        ,     0.00957(28),  3.095(82)E+03  ,        4188.45,        0.09,   0.00,      0.6701,      0.0089,    1.33,        0.00957,        0.00028,    2.88,  3.0951E+03,  8.2E+01,    2.66
 27,  35, 13p3/2,  7d5/2,        4191.10(9)  ,           2.013(26) ,        ,      0.0862(22),  2.788(71)E+04  ,        4191.10,        0.09,   0.00,       2.013,       0.026,    1.27,         0.0862,         0.0022,    2.58,  2.7875E+04,  7.1E+02,    2.54
 27,  36, 13p3/2,  8d3/2,         6914.7(2)  ,           1.291(16) ,        ,     0.00790(22),  2.552(65)E+03  ,         6914.7,         0.2,   0.00,       1.291,       0.016,    1.26,        0.00790,        0.00022,    2.76,  2.5523E+03,  6.5E+01,    2.53
 27,  37, 13p3/2,  8d5/2,         6919.6(2)  ,           3.877(47) ,        ,      0.0711(18),  2.298(55)E+04  ,         6919.6,         0.2,   0.00,       3.877,       0.047,    1.20,         0.0711,         0.0018,    2.51,  2.2979E+04,  5.5E+02,    2.41
 27,  38, 13p3/2,  9d3/2,        11823.5(7)  ,           2.677(33) ,        ,     0.00679(18),  2.195(54)E+03  ,        11823.5,         0.7,   0.01,       2.677,       0.033,    1.22,        0.00679,        0.00018,    2.69,  2.1955E+03,  5.4E+01,    2.44
